DiseaseName	PMID	Line index	The # of total tokens in sentence	Start position of tagged disease in sentence
ms	pmid: 22050952	3	21	19
ms	pmid: 22359923	2	11	8
ms	pmid: 22359923	6	26	24
ms	pmid: 22359923	7	23	12
ms	pmid: 23223539	2	10	4
ms	pmid: 23223539	3	23	14
ms	pmid: 23223533	3	29	27
ms	pmid: 23223537	3	51	7
ms	pmid: 23246200	3	46	26
ms	pmid: 23807832	5	11	7
ms	pmid: 23807836	2	12	8
ms	pmid: 23807836	3	31	10
ms	pmid: 21584740	3	17	6
ms	pmid: 23113417	2	16	14
ms	pmid: 23113417	5	23	21
ms	pmid: 21467209	3	24	22
ms	pmid: 22924505	6	22	20
ms	pmid: 21992208	4	37	11
ms	pmid: 22377454	4	21	17
ms	pmid: 23439547	3	14	12
ms	pmid: 24187513	3	25	20
ms	pmid: 24187513	5	26	15
ms	pmid: 21781056	3	11	9
ms	pmid: 23796873	2	13	11
ms	pmid: 23796873	3	22	20
ms	pmid: 23086313	3	30	13
ms	pmid: 21310238	8	15	4
ms	pmid: 21310238	10	20	7
ms	pmid: 22741530	12	28	7
ms	pmid: 22619481	4	41	38
ms	pmid: 23516103	2	13	9
ms	pmid: 22898371	9	24	15
ms	pmid: 23342227	3	29	26
ms	pmid: 22184268	2	17	12
ms	pmid: 22184268	5	18	16
ms	pmid: 22680341	3	34	19
ms	pmid: 22407571	2	16	4
ms	pmid: 22407571	3	25	15
ms	pmid: 22029427	2	15	7
ms	pmid: 22029427	3	13	11
ms	pmid: 22538071	2	19	13
ms	pmid: 22056384	4	31	6
ms	pmid: 22084490	3	17	6
ms	pmid: 23466062	2	10	4
ms	pmid: 23466062	3	18	4
ms	pmid: 23920002	2	16	5
ms	pmid: 23920002	3	17	15
ms	pmid: 22596228	3	17	15
ms	pmid: 22596228	6	22	20
ms	pmid: 22938097	3	23	19
ms	pmid: 22156707	6	21	19
ms	pmid: 23365098	11	29	18
ms	pmid: 23365094	2	8	4
ms	pmid: 23365094	9	21	4
ms	pmid: 23365094	12	27	25
ms	pmid: 23365094	13	15	9
ms	pmid: 23365095	5	41	7
ms	pmid: 23365093	6	46	28
ms	pmid: 23365093	9	24	16
ms	pmid: 23365093	10	31	18
ms	pmid: 23365093	11	27	5
ms	pmid: 23365093	16	28	27
ms	pmid: 23051633	2	12	9
ms	pmid: 23051633	3	42	2
ms	pmid: 21839580	2	16	8
ms	pmid: 21839580	4	31	20
ms	pmid: 22336858	14	31	2
ms	pmid: 22503020	4	48	28
ms	pmid: 22113264	4	16	6
ms	pmid: 22641303	3	22	11
