GeneName	PMID	Line index	The # of total tokens in sentence	Token Location in sentence
203228	pmid: 23413259	3	18	4
9215	pmid: 23413259	3	18	9
203228	pmid: 23413259	4	28	27
203228	pmid: 23413259	5	42	5
1446	pmid: 23413259	5	42	9
203228	pmid: 23413259	6	26	8
1446	pmid: 23413259	6	26	3
203228	pmid: 23413259	7	59	44
203228	pmid: 23413259	8	19	12
2011	pmid: 21447022	12	9	3
1319	pmid: 21447024	2	14	6
1319	pmid: 21447024	3	32	13
1319	pmid: 21447024	4	35	8
1319	pmid: 21447024	5	16	11
1319	pmid: 21447024	6	36	10
1319	pmid: 21447024	8	22	2
1319	pmid: 21447024	10	14	3
1319	pmid: 21447024	11	21	9
1319	pmid: 21447024	12	32	10
1319	pmid: 21447024	13	51	42
1319	pmid: 21447024	14	22	6
2011	pmid: 21447024	15	9	3
1057	pmid: 22491253	2	16	6
64218	pmid: 22491253	2	16	3
1057	pmid: 22491253	4	23	15
1057	pmid: 22491253	6	21	20
1057	pmid: 22491253	7	34	7
64218	pmid: 22491253	8	16	7
64218	pmid: 22491253	9	20	4
1057	pmid: 22491253	10	24	13
64218	pmid: 22491253	10	24	20
64218	pmid: 22491253	11	16	5
64218	pmid: 22491253	12	18	7
55364	pmid: 24109185	5	25	4
4280	pmid: 23752202	7	22	16
1319	pmid: 22050733	11	18	7
1319	pmid: 22050733	13	25	21
1319	pmid: 22050733	14	21	10
1319	pmid: 22050733	15	21	10
2011	pmid: 22050733	16	20	12
2012	pmid: 22987755	7	6	3
55364	pmid: 22117117	3	14	2
1057	pmid: 22963651	2	19	14
1057	pmid: 22963651	9	28	27
4280	pmid: 22963651	9	28	5
2011	pmid: 22361347	6	6	3
4280	pmid: 23656992	9	13	2
1057	pmid: 23656992	10	26	17
1319	pmid: 23656992	10	26	11
7249	pmid: 23580196	2	10	4
7248	pmid: 23580196	3	17	14
7249	pmid: 23580196	3	17	16
7248	pmid: 23580196	5	25	4
7249	pmid: 23580196	5	25	6
2475	pmid: 23580196	6	12	7
7249	pmid: 23580196	8	24	18
7249	pmid: 23580196	9	18	2
7248	pmid: 23580196	16	40	30
7249	pmid: 23580196	16	40	32
2011	pmid: 22284561	6	4	3
2012	pmid: 22696123	9	6	3
4280	pmid: 22836148	5	23	13
4280	pmid: 22836148	12	27	18
2012	pmid: 22836148	15	5	3
2001	pmid: 23301877	5	24	11
2010	pmid: 23301877	5	24	15
2003	pmid: 23301877	6	19	11
2003	pmid: 23301877	17	46	26
1057	pmid: 22155618	4	29	21
4280	pmid: 22155618	4	29	6
4280	pmid: 22155618	6	16	3
4280	pmid: 22155618	10	22	2
4280	pmid: 22155618	12	28	7
4280	pmid: 22155618	13	19	13
4280	pmid: 22155618	15	35	3
2011	pmid: 22155618	16	5	3
506	pmid: 22261716	2	16	6
506	pmid: 22261716	4	31	18
4280	pmid: 22261716	4	31	23
506	pmid: 22261716	5	39	20
4280	pmid: 22261716	5	39	25
55364	pmid: 22012025	8	37	33
4838	pmid: 22566594	7	27	24
1057	pmid: 22397318	6	38	15
28567	pmid: 21927869	6	32	10
1057	pmid: 22108845	10	35	16
