GeneName	PMID	Line index	The # of total tokens in sentence	Token Location in sentence
1057	pmid: 22293948	2	22	5
246778	pmid: 22293948	4	19	17
10148	pmid: 22293948	5	28	9
246778	pmid: 22293948	6	32	9
4280	pmid: 22293948	6	32	30
4280	pmid: 22293948	7	31	27
1057	pmid: 22293948	8	18	2
4280	pmid: 22293948	8	18	10
4280	pmid: 22293948	9	37	18
246778	pmid: 22293948	10	37	33
1057	pmid: 22293948	10	37	23
1057	pmid: 22292614	4	38	18
1999	pmid: 22292226	7	27	16
4280	pmid: 22292058	5	29	16
8312	pmid: 22292058	9	39	38
4280	pmid: 22292058	9	39	7
1057	pmid: 22291919	10	37	36
89778	pmid: 22289513	2	11	2
89778	pmid: 22289513	4	13	3
89778	pmid: 22289513	6	24	16
89778	pmid: 22289513	7	23	5
89778	pmid: 22289513	9	24	23
89778	pmid: 22289513	10	14	9
89778	pmid: 22289513	11	37	18
89778	pmid: 22289513	12	30	6
94005	pmid: 22288880	6	28	9
9215	pmid: 22288050	4	26	10
4280	pmid: 22287840	8	23	5
4486	pmid: 22287729	2	15	2
1057	pmid: 22287729	5	8	2
4486	pmid: 22287729	6	11	4
4486	pmid: 22287729	7	14	3
4486	pmid: 22287729	8	11	10
1057	pmid: 22287729	9	24	9
4486	pmid: 22287729	11	14	11
4486	pmid: 22287729	12	17	2
4280	pmid: 22287227	6	21	7
4280	pmid: 22287227	8	22	10
4280	pmid: 22287227	9	14	10
4280	pmid: 22287227	10	11	5
4280	pmid: 22287227	11	28	4
4280	pmid: 22287227	12	24	3
2012	pmid: 22287227	14	4	2
7033	pmid: 22286382	4	17	6
1057	pmid: 22286382	5	26	20
100129528	pmid: 22286382	5	26	9
7033	pmid: 22286382	5	26	24
1057	pmid: 22286382	7	14	2
7032	pmid: 22286382	7	14	7
7033	pmid: 22286382	7	14	9
7033	pmid: 22286382	8	13	11
4586	pmid: 22286382	11	20	6
100129528	pmid: 22286382	11	20	4
7033	pmid: 22286382	13	14	6
7033	pmid: 22286382	15	14	5
1057	pmid: 22286382	16	15	6
7033	pmid: 22286382	16	15	9
1057	pmid: 22286027	7	40	19
2006	pmid: 22285669	4	28	26
4838	pmid: 22285669	5	15	14
4838	pmid: 22284684	14	20	4
55364	pmid: 22284089	2	13	2
55364	pmid: 22284089	5	15	5
4280	pmid: 22283686	5	20	3
4280	pmid: 22283686	10	48	19
4280	pmid: 22283686	11	26	22
1057	pmid: 22281437	2	5	4
8678	pmid: 22281437	6	58	15
4280	pmid: 22281437	6	58	22
1057	pmid: 22281437	7	54	45
1057	pmid: 22281437	8	44	15
10922	pmid: 22281437	9	51	12
1057	pmid: 22281437	9	51	15
1057	pmid: 22281437	10	33	8
1057	pmid: 22280800	8	30	25
5745	pmid: 22280800	13	21	18
1995	pmid: 22277791	4	50	42
1996	pmid: 22277791	6	25	9
887	pmid: 22277584	5	23	20
887	pmid: 22277584	6	25	21
887	pmid: 22277584	7	30	29
8091	pmid: 22276603	2	17	3
8091	pmid: 22276603	5	17	14
3159	pmid: 22276603	5	17	12
8091	pmid: 22276603	6	29	3
8091	pmid: 22276603	8	21	9
3159	pmid: 22276603	8	21	7
8091	pmid: 22276603	9	14	4
3159	pmid: 22276603	9	14	2
8091	pmid: 22276603	11	25	7
3159	pmid: 22276603	11	25	5
1057	pmid: 22275514	4	26	25
8893	pmid: 22275514	8	37	12
1057	pmid: 22275185	2	13	6
9215	pmid: 22275185	5	17	6
1057	pmid: 22275185	7	45	31
3691	pmid: 22275185	9	21	8
1057	pmid: 22273698	2	11	10
6774	pmid: 22273698	2	11	3
1057	pmid: 22273698	3	34	16
1057	pmid: 22273698	4	20	19
6774	pmid: 22273698	5	17	14
1057	pmid: 22273698	6	26	5
1057	pmid: 22273698	7	11	10
1057	pmid: 22273698	9	36	12
6774	pmid: 22273698	9	36	35
1057	pmid: 22273698	10	19	18
1057	pmid: 22273698	11	14	12
6774	pmid: 22273698	11	14	5
55364	pmid: 22272725	2	14	2
1057	pmid: 22272725	11	33	15
55364	pmid: 22272725	13	24	13
5743	pmid: 22272632	4	17	3
6662	pmid: 22271799	2	13	9
6662	pmid: 22271799	6	44	34
6662	pmid: 22271799	7	47	30
1057	pmid: 22271799	8	54	21
6662	pmid: 22271799	8	54	34
1956	pmid: 22271412	3	30	20
1956	pmid: 22271412	4	21	12
1057	pmid: 22271412	5	28	26
1956	pmid: 22271412	5	28	14
1057	pmid: 22271412	7	13	10
1956	pmid: 22271412	14	14	4
100129528	pmid: 22271055	3	38	22
100129528	pmid: 22271054	11	17	7
1057	pmid: 22270965	9	19	2
1057	pmid: 22270965	11	34	18
596	pmid: 22270965	12	30	23
1048	pmid: 22270149	4	53	51
1057	pmid: 22270149	4	53	35
100129528	pmid: 22270149	4	53	31
1057	pmid: 22266985	5	21	5
1057	pmid: 22266985	8	19	2
4585	pmid: 22266985	11	15	3
1057	pmid: 22266985	14	41	25
5154	pmid: 22266848	2	8	3
100129528	pmid: 22266848	4	21	6
5154	pmid: 22266848	11	23	13
5154	pmid: 22266848	12	18	2
5154	pmid: 22266848	13	18	11
5154	pmid: 22266848	14	16	15
5154	pmid: 22266848	17	22	6
1057	pmid: 22266188	6	18	12
1057	pmid: 22266188	7	10	9
1057	pmid: 22266188	8	16	13
3297	pmid: 22266185	6	23	22
1057	pmid: 22265420	6	14	9
10752	pmid: 22265397	2	11	7
1057	pmid: 22264850	8	39	19
3845	pmid: 22264792	3	15	2
2353	pmid: 22264792	6	31	6
2354	pmid: 22264792	6	31	6
3725	pmid: 22264792	6	31	6
10535	pmid: 22264792	6	31	6
3727	pmid: 22264792	6	31	6
3845	pmid: 22264792	7	15	6
9215	pmid: 22264027	3	25	16
1057	pmid: 22264027	5	36	19
100133941	pmid: 22263802	9	12	5
960	pmid: 22263802	9	12	7
1057	pmid: 22263802	10	31	26
1057	pmid: 22262543	2	17	13
1057	pmid: 22262543	3	23	12
1057	pmid: 22262543	4	24	13
1057	pmid: 22262543	5	31	23
1057	pmid: 22262543	6	19	18
1057	pmid: 22262543	7	16	12
6195	pmid: 22262543	7	16	14
1057	pmid: 22262543	9	37	15
1057	pmid: 22262369	7	33	25
1057	pmid: 22262369	9	28	13
2012	pmid: 22262369	14	10	3
1956	pmid: 22261712	4	9	6
1956	pmid: 22261712	5	23	15
1956	pmid: 22261712	7	10	4
55364	pmid: 22261712	8	22	20
1956	pmid: 22261712	8	22	15
1956	pmid: 22261712	10	19	10
1956	pmid: 22261712	11	15	2
1057	pmid: 22261338	4	46	25
1057	pmid: 22261338	6	27	21
2003	pmid: 22260836	7	17	15
28234	pmid: 22260016	5	29	4
1057	pmid: 22258856	8	29	28
1057	pmid: 22258815	6	18	9
4280	pmid: 22258815	8	24	9
1057	pmid: 22258815	9	12	11
1057	pmid: 22258815	13	37	16
1057	pmid: 22253833	2	17	8
7409	pmid: 22253833	2	17	2
7409	pmid: 22253833	4	20	2
7409	pmid: 22253833	5	21	17
7409	pmid: 22253833	6	24	14
1057	pmid: 22253833	7	23	22
7409	pmid: 22253833	8	16	12
7409	pmid: 22253833	9	23	22
7409	pmid: 22253833	10	15	10
7409	pmid: 22253833	11	10	9
7409	pmid: 22253833	12	26	6
7409	pmid: 22253833	13	40	33
7409	pmid: 22253833	14	19	8
7409	pmid: 22253833	15	17	14
6749	pmid: 22252658	3	41	29
1057	pmid: 22251937	2	20	5
9215	pmid: 22251937	2	20	4
1057	pmid: 22251937	5	42	32
9215	pmid: 22251937	5	42	31
546	pmid: 22251937	6	42	32
1057	pmid: 22251937	6	42	26
9215	pmid: 22251937	6	42	25
7157	pmid: 22251937	7	17	14
546	pmid: 22251937	8	23	5
1616	pmid: 22251937	8	23	3
596	pmid: 22251937	9	30	3
1057	pmid: 22251937	9	30	21
9215	pmid: 22251937	9	30	20
1057	pmid: 22251937	11	21	9
9215	pmid: 22251937	11	21	8
596	pmid: 22251937	12	26	16
1057	pmid: 22251937	12	26	12
5978	pmid: 22251549	6	12	9
1956	pmid: 22250636	2	13	4
1956	pmid: 22250636	4	10	9
2006	pmid: 22250636	5	31	27
2009	pmid: 22250636	5	31	29
1956	pmid: 22250636	5	31	20
1956	pmid: 22250636	15	16	12
1956	pmid: 22250636	16	17	5
9215	pmid: 22249272	18	30	18
2305	pmid: 22249132	2	15	3
2305	pmid: 22249132	4	25	17
2305	pmid: 22249132	5	27	5
2305	pmid: 22249132	7	20	4
2305	pmid: 22249132	8	19	2
2305	pmid: 22249132	9	28	7
2305	pmid: 22249132	10	22	18
2305	pmid: 22249132	11	15	6
2305	pmid: 22249132	12	18	6
1057	pmid: 22248802	5	24	6
2009	pmid: 22248600	12	16	7
1057	pmid: 22247788	5	36	35
2005	pmid: 22247287	8	26	22
2005	pmid: 22247287	11	22	18
1057	pmid: 22246854	8	33	13
1057	pmid: 22246854	29	23	12
1057	pmid: 22246533	3	18	14
3039	pmid: 22246533	5	23	11
5175	pmid: 22246533	5	23	11
5111	pmid: 22246533	7	17	2
1057	pmid: 22246533	8	26	25
1057	pmid: 22246533	9	18	14
1057	pmid: 22246317	12	23	19
2475	pmid: 22246317	14	27	26
55364	pmid: 22246279	2	14	9
55364	pmid: 22246279	8	20	10
6706	pmid: 22246215	2	15	8
1057	pmid: 22246215	4	37	20
1057	pmid: 22246215	5	9	8
1057	pmid: 22246215	9	15	14
6706	pmid: 22246215	9	15	2
1057	pmid: 22246215	10	14	4
6706	pmid: 22246215	10	14	10
1057	pmid: 22246215	11	23	5
6706	pmid: 22246215	11	23	20
1057	pmid: 22246215	12	29	28
6706	pmid: 22246215	12	29	2
1057	pmid: 22246215	13	21	18
6706	pmid: 22246215	13	21	6
6706	pmid: 22246215	14	19	10
1057	pmid: 22246103	6	31	28
331	pmid: 22246103	7	20	6
1057	pmid: 22246103	8	26	13
331	pmid: 22246103	11	33	24
596	pmid: 22246103	11	33	21
1057	pmid: 22246103	12	15	14
4280	pmid: 22245972	2	18	8
7032	pmid: 22245972	2	18	6
7032	pmid: 22245972	4	13	2
7033	pmid: 22245972	4	13	4
7032	pmid: 22245972	6	14	12
4280	pmid: 22245972	9	12	8
1057	pmid: 22245972	10	25	24
4280	pmid: 22245972	12	16	14
7032	pmid: 22245972	12	16	8
1057	pmid: 22245693	6	25	6
1057	pmid: 22245693	10	22	13
4280	pmid: 22245693	12	20	2
3159	pmid: 22245693	12	20	18
9704	pmid: 22245197	6	13	11
1319	pmid: 22245197	8	49	45
6749	pmid: 22244303	4	20	8
55364	pmid: 22244303	6	27	5
55364	pmid: 22244181	2	15	2
55364	pmid: 22244181	4	18	4
1990	pmid: 22244181	5	25	21
1111	pmid: 22244109	5	37	29
1057	pmid: 22244109	5	37	35
1057	pmid: 22244109	8	37	26
4089	pmid: 22243968	2	13	8
4089	pmid: 22243968	5	12	5
55364	pmid: 22243968	8	62	58
4089	pmid: 22243968	8	62	2
1057	pmid: 22241962	5	15	10
1057	pmid: 22241962	10	40	20
2012	pmid: 22241738	14	6	3
1057	pmid: 22241445	4	27	13
