GeneName	PMID	Line index	The # of total tokens in sentence	Token Location in sentence
120892	pmid: 21960214	3	19	4
120892	pmid: 21960214	5	13	5
120892	pmid: 21960214	6	21	9
120892	pmid: 21960214	7	14	9
10922	pmid: 21959675	9	38	25
9215	pmid: 21957415	6	21	9
9215	pmid: 21956541	4	10	6
10044	pmid: 21955729	10	27	11
10044	pmid: 21955729	12	44	10
120892	pmid: 21954089	2	16	7
120892	pmid: 21954089	3	17	7
120892	pmid: 21954089	5	28	19
120892	pmid: 21954089	10	29	9
9215	pmid: 21953897	3	27	23
6622	pmid: 21953863	2	13	3
6622	pmid: 21953863	4	27	8
6622	pmid: 21953863	6	21	17
2011	pmid: 21953789	14	5	2
4734	pmid: 21953697	2	10	3
4734	pmid: 21953697	6	15	2
4734	pmid: 21953697	7	23	4
4734	pmid: 21953697	8	6	2
4734	pmid: 21953697	9	18	6
4734	pmid: 21953697	10	19	4
4734	pmid: 21953697	11	27	4
1057	pmid: 21951056	5	18	14
1057	pmid: 21951056	6	35	19
1057	pmid: 21951056	8	26	25
1057	pmid: 21950265	4	26	21
2010	pmid: 21947534	5	22	9
55364	pmid: 21947534	6	17	11
22900	pmid: 21941841	12	29	17
2006	pmid: 21940614	4	33	26
51667	pmid: 21937912	2	16	3
51667	pmid: 21937912	6	32	14
51667	pmid: 21937912	7	21	2
4280	pmid: 21937912	7	21	13
51667	pmid: 21937912	8	17	5
51667	pmid: 21937912	9	15	5
51667	pmid: 21937912	10	18	5
55364	pmid: 21936884	3	16	14
2009	pmid: 21935799	4	32	30
1319	pmid: 21934376	4	39	32
1057	pmid: 21931820	11	31	30
4280	pmid: 21930938	11	22	5
1980	pmid: 21930414	6	16	14
4760	pmid: 21924950	7	24	22
5694	pmid: 21924950	7	24	6
7528	pmid: 21924950	7	24	6
5694	pmid: 21924950	9	29	19
7528	pmid: 21924950	9	29	19
83985	pmid: 21924367	4	25	11
1057	pmid: 21922512	4	18	10
3356	pmid: 21921840	2	15	3
3356	pmid: 21921840	8	21	4
3356	pmid: 21921840	9	20	3
3358	pmid: 21921840	9	20	11
3356	pmid: 21921840	10	33	10
55626	pmid: 21921694	5	25	8
55626	pmid: 21921694	8	27	20
2009	pmid: 21919541	16	30	11
2018	pmid: 21919541	17	14	10
5262	pmid: 21915906	5	20	5
5262	pmid: 21915906	7	43	8
8301	pmid: 21912625	2	11	8
8301	pmid: 21912625	3	25	17
348	pmid: 21912625	8	16	9
348	pmid: 21912625	9	17	12
8301	pmid: 21912625	11	18	11
1057	pmid: 21911417	4	13	4
9215	pmid: 21911417	11	28	22
1057	pmid: 21911417	15	34	13
55364	pmid: 21910444	2	14	2
5252	pmid: 21910444	2	14	10
5252	pmid: 21910444	4	44	41
9215	pmid: 21910444	5	30	2
348	pmid: 21907175	5	24	5
1981	pmid: 21907011	2	8	3
1981	pmid: 21907011	5	35	7
1981	pmid: 21907011	6	22	8
3646	pmid: 21907011	7	25	8
1977	pmid: 21907011	7	25	6
1057	pmid: 21906664	5	43	38
4280	pmid: 21906664	7	9	4
4280	pmid: 21906664	9	37	4
4280	pmid: 21906664	10	28	20
1057	pmid: 21906664	14	9	8
4280	pmid: 21906664	14	9	4
1057	pmid: 21906659	7	33	22
1057	pmid: 21906659	9	25	14
1057	pmid: 21905078	2	6	2
1057	pmid: 21905078	3	20	7
1057	pmid: 21905078	4	23	13
1057	pmid: 21905078	5	24	23
1057	pmid: 21905078	6	31	26
1057	pmid: 21905078	7	32	12
1057	pmid: 21905078	8	32	19
11335	pmid: 21904267	3	15	6
11335	pmid: 21904267	4	37	13
3356	pmid: 21892895	10	17	9
79071	pmid: 21890575	9	17	16
2178	pmid: 21890575	9	17	16
9215	pmid: 21890574	9	43	22
6311	pmid: 21889984	6	19	12
1490	pmid: 21889984	7	31	4
6311	pmid: 21889984	7	31	14
6311	pmid: 21889984	9	23	8
5978	pmid: 21887350	2	19	7
5978	pmid: 21887350	14	73	9
120892	pmid: 21885347	2	13	3
120892	pmid: 21885347	5	25	7
120892	pmid: 21885347	7	22	8
120892	pmid: 21885347	10	30	3
1376	pmid: 21885347	10	30	18
5595	pmid: 21885347	10	30	16
120892	pmid: 21885347	15	23	4
120892	pmid: 21885347	17	18	16
120892	pmid: 21885346	2	9	4
9215	pmid: 21884132	9	30	4
2009	pmid: 21881468	6	25	19
1057	pmid: 21880913	4	32	11
4280	pmid: 21880913	4	32	2
4280	pmid: 21880913	7	30	25
2004	pmid: 21880335	3	11	2
9575	pmid: 21880335	6	70	44
22900	pmid: 21878363	3	39	3
1057	pmid: 21876529	5	26	25
1057	pmid: 21876529	18	32	13
1319	pmid: 21876529	18	32	18
9215	pmid: 21876529	21	27	11
11335	pmid: 21872587	2	18	2
11335	pmid: 21872587	8	30	16
11335	pmid: 21872587	9	35	3
2010	pmid: 21872561	5	15	10
1057	pmid: 21872441	6	22	14
4280	pmid: 21871902	8	50	5
5978	pmid: 21871844	2	16	4
5978	pmid: 21871844	4	18	14
5978	pmid: 21871844	7	37	3
5978	pmid: 21871844	11	24	8
120892	pmid: 21866175	2	14	5
120892	pmid: 21866175	4	22	5
120892	pmid: 21866175	5	14	4
120892	pmid: 21866175	6	23	13
120892	pmid: 21866175	7	33	32
120892	pmid: 21866175	8	18	10
9215	pmid: 21866175	8	18	9
120892	pmid: 21866175	10	24	5
1057	pmid: 21865882	2	31	4
1057	pmid: 21865882	3	41	2
1057	pmid: 21865882	7	22	2
6749	pmid: 21865760	10	29	12
4280	pmid: 21865652	2	14	10
4280	pmid: 21865652	6	17	10
4280	pmid: 21865652	7	9	2
948	pmid: 21865652	12	21	9
5444	pmid: 21864557	5	17	16
5444	pmid: 21864557	7	19	14
5444	pmid: 21864557	8	22	9
5444	pmid: 21864557	9	21	13
5444	pmid: 21864557	10	11	6
5444	pmid: 21864557	12	24	23
5444	pmid: 21864557	13	28	17
4280	pmid: 21864527	7	26	11
4280	pmid: 21864527	8	16	12
9575	pmid: 21864527	9	40	10
1057	pmid: 21864078	9	42	35
1057	pmid: 21863007	7	19	8
6622	pmid: 21863007	7	19	12
10922	pmid: 21858182	9	16	11
79071	pmid: 21856319	7	60	38
2178	pmid: 21856319	7	60	38
79071	pmid: 21856319	8	35	30
2178	pmid: 21856319	8	35	30
9215	pmid: 21855895	7	24	7
55364	pmid: 21855627	8	24	21
55364	pmid: 21855627	12	28	24
55364	pmid: 21855627	13	17	10
1987	pmid: 21853051	5	32	19
1057	pmid: 21852951	6	17	15
1057	pmid: 21852951	9	43	28
1057	pmid: 21852951	11	30	29
11315	pmid: 21852238	2	8	2
11315	pmid: 21852238	4	15	6
11315	pmid: 21852238	6	20	5
11315	pmid: 21852238	7	8	4
11315	pmid: 21852238	8	19	18
11315	pmid: 21852238	9	22	2
11315	pmid: 21852238	10	27	7
1057	pmid: 21852238	11	21	10
11315	pmid: 21852238	11	21	5
9575	pmid: 21851954	7	38	15
120892	pmid: 21850687	2	13	3
120892	pmid: 21850687	5	22	5
120892	pmid: 21850687	6	15	5
120892	pmid: 21850687	10	22	4
